# DESeq2/Condition GF vs wt
NVE100	K07152
NVE12524	K14808
NVE1259	K04526
NVE12650	K09582
NVE12688	K17387
NVE12704	K15112
NVE12729	K01369
NVE12739	K08187
NVE1274	K11140
NVE12748	K09848
NVE12751	K12405
NVE12755	K08465
NVE1276	K20478
NVE12762	K09268
NVE12823	K14411
NVE12849	K02151
NVE12867	K03258
NVE12873	K14399
NVE12874	K00275
NVE12889	K11716
NVE12905	K08824
NVE1292	K08886
NVE1293	K01793
NVE12952	K15731
NVE12958	K17356
NVE12962	K14616
NVE1299	K04984
NVE12992	K12567
NVE1303	K15104
NVE1307	K19328
NVE13094	K06777
NVE13135	K00139
NVE13144	K03013
NVE1316	K01197
NVE13170	K13528
NVE13171	K14561
NVE13177	K09487
NVE13205	K13347
NVE13307	K07393
NVE13366	K04523
NVE13368	K06840
NVE13413	K02296
NVE13418	K19944
NVE13474	K04800
NVE13493	K15162
NVE13528	K09216
NVE13546	K01415
NVE13572	K07424
NVE1360	K13297
NVE13662	K13171
NVE13688	K04534
NVE13689	K11270
NVE13710	K02432
NVE13711	K04796
NVE1377	K00587
NVE13830	K13137
NVE13905	K11092
NVE13908	K14560
NVE13916	K10369
NVE13935	K12393
NVE1394	K00147
NVE13940	K09398
NVE13964	K13199
NVE13981	K09232
NVE14046	K05039
NVE14122	K04988
NVE1413	K13356
NVE14161	K08654
NVE14195	K04231
NVE1420	K00108
NVE14204	K12847
NVE14208	K01681
NVE14229	K08378
NVE14277	K20705
NVE14301	K00698
NVE14312	K19246
NVE14353	K00649
NVE14401	K02607
NVE14458	K10260
NVE14474	K13761
NVE14486	K08526
NVE14487	K00314
NVE14492	K13337
NVE14510	K07925
NVE14531	K04988
NVE14552	K17751
NVE1458	K02959
NVE14583	K00803
NVE14592	K01307
NVE14608	K09402
NVE1464	K19882
NVE14758	K05312
NVE14825	K04367
NVE14848	K00966
NVE14884	K07374
NVE14885	K07374
NVE14910	K00006
NVE14916	K04564
NVE14917	K09577
NVE14919	K08776
NVE14927	K09517
NVE14933	K07374
NVE14935	K10596
NVE1494	K20478
NVE1495	K20478
NVE14952	K17341
NVE14953	K17341
NVE14984	K01415
NVE14985	K01415
NVE14986	K08635
NVE14996	K11252
NVE15043	K16273
NVE15075	K12834
NVE15173	K18754
NVE15202	K00761
NVE15262	K02950
NVE15328	K20857
NVE15380	K07427
NVE15381	K03019
NVE15382	K04605
NVE15424	K00871
NVE15437	K15449
NVE15516	K18592
NVE15530	K11471
NVE15540	K06127
NVE1558	K01349
NVE15603	K04150
NVE15607	K03260
NVE15612	K14354
NVE15614	K11142
NVE1563	K09500
NVE15643	K02503
NVE15654	K11411
NVE15669	K20477
NVE1567	K00830
NVE15679	K19511
NVE15724	K14085
NVE15734	K08056
NVE15735	K06847
NVE15767	K09593
NVE15801	K17307
NVE15856	K14703
NVE15913	K03036
NVE15925	K20704
NVE15935	K19532
NVE15958	K06228
NVE15962	K20347
NVE15963	K05857
NVE15969	K06978
NVE16105	K21852
NVE16109	K05051
NVE16136	K17255
NVE16149	K17499
NVE16238	K09497
NVE16256	K01749
NVE16259	K11514
NVE16298	K15695
NVE16336	K21554
NVE16356	K00933
NVE16370	K16893
NVE16376	K07573
NVE16385	K09428
NVE16389	K10398
NVE16394	K06678
NVE16398	K18710
NVE16399	K19041
NVE16406	K05955
NVE16433	K07855
NVE16491	K05048
NVE16494	K04988
NVE16509	K05633
NVE16526	K02437
NVE16552	K00624
NVE16574	K16174
NVE16575	K17552
NVE16584	K14713
NVE16610	K14686
NVE16620	K10425
NVE1674	K13160
NVE16749	K00967
NVE16754	K01195
NVE16757	K09568
NVE16768	K00605
NVE16812	K07126
NVE16850	K20182
NVE16855	K01581
NVE16879	K14293
NVE16888	K11108
NVE16898	K05855
NVE16915	K20520
NVE17048	K20526
NVE17049	K20526
NVE17074	K04716
NVE17099	K06724
NVE17128	K13122
NVE17153	K19870
NVE17163	K18592
NVE17187	K00965
NVE17212	K11247
NVE17234	K11662
NVE17277	K10895
NVE1734	K10894
NVE17340	K14771
NVE17350	K13165
NVE17360	K07375
NVE17381	K15109
NVE17388	K21396
NVE17395	K08855
NVE17403	K10890
NVE1741	K10751
NVE17411	K14820
NVE17481	K08202
NVE17524	K10158
NVE17556	K00710
NVE17642	K13649
NVE17672	K15015
NVE17685	K05858
NVE17840	K01113
NVE1790	K17566
NVE17903	K01115
NVE17918	K18258
NVE1795	K14830
NVE18014	K01555
NVE18017	K14689
NVE18019	K09516
NVE18021	K04266
NVE18023	K21398
NVE18027	K08017
NVE18042	K15119
NVE18049	K21893
NVE18061	K07208
NVE18069	K14324
NVE18115	K02365
NVE18172	K00512
NVE18255	K09995
NVE18267	K17916
NVE18275	K18201
NVE18290	K09361
NVE18310	K05323
NVE18323	K00657
NVE18329	K03063
NVE18338	K11160
NVE18355	K03037
NVE18378	K16726
NVE18494	K01593
NVE1853	K02349
NVE18546	K16743
NVE18557	K08866
NVE18569	K13515
NVE1857	K17495
NVE1858	K01556
NVE18629	K06176
NVE18684	K20292
NVE18686	K18335
NVE18696	K06071
NVE1874	K10874
NVE18776	K01528
NVE1880	K21421
NVE1882	K17253
NVE1885	K19721
NVE18879	K14863
NVE18881	K07442
NVE18898	K16353
NVE18914	K11668
NVE18925	K01886
NVE18933	K10864
NVE18946	K00734
NVE18990	K04078
NVE190	K03039
NVE19059	K11153
NVE19068	K10740
NVE1910	K10747
NVE1911	K20474
NVE19118	K14565
NVE19122	K03870
NVE19125	K02954
NVE1923	K13138
NVE19231	K00693
NVE19286	K04367
NVE19345	K02183
NVE1935	K03253
NVE19357	K05186
NVE1936	K03253
NVE19361	K05181
NVE19388	K00844
NVE19398	K11279
NVE1940	K03035
NVE19502	K09866
NVE19517	K11577
NVE19523	K15791
NVE19526	K00654
NVE19529	K06047
NVE1953	K13354
NVE19590	K01277
NVE19597	K00432
NVE19616	K17421
NVE19633	K04515
NVE19670	K08187
NVE19693	K01310
NVE1975	K01514
NVE19762	K09324
NVE19776	K04615
NVE19788	K14525
NVE19797	K12491
NVE19830	K02735
NVE19917	K12132
NVE19925	K22074
NVE19928	K01969
NVE19966	K03331
NVE19985	K20367
NVE20000	K01711
NVE20034	K10704
NVE20069	K16353
NVE20075	K00699
NVE20082	K13763
NVE20101	K02513
NVE20120	K02147
NVE20126	K11498
NVE20127	K01737
NVE20135	K16591
NVE20148	K06532
NVE20151	K00884
NVE20159	K04200
NVE20186	K20120
NVE2028	K05673
NVE20296	K14570
NVE20305	K05692
NVE20307	K09140
NVE20319	K21595
NVE20320	K21595
NVE20340	K01301
NVE20358	K17253
NVE20378	K13912
NVE20401	K09250
NVE20411	K00214
NVE20412	K03283
NVE20413	K19495
NVE20467	K09090
NVE20476	K05629
NVE20491	K00944
NVE20501	K18592
NVE20548	K07424
NVE20604	K06115
NVE20613	K20472
NVE20620	K16541
NVE2063	K11413
NVE20662	K14816
NVE20686	K01148
NVE20699	K05730
NVE20776	K18595
NVE20781	K07440
NVE20829	K00546
NVE20892	K09341
NVE20894	K08730
NVE20915	K10249
NVE20916	K10249
NVE20933	K12302
NVE20936	K01557
NVE20941	K00819
NVE20957	K11129
NVE20959	K13708
NVE20977	K13704
NVE20983	K03575
NVE20993	K18674
NVE21004	K04796
NVE21043	K04988
NVE21051	K16732
NVE21057	K18123
NVE21062	K14794
NVE21085	K04796
NVE21086	K03424
NVE21117	K08631
NVE2112	K12305
NVE21128	K20795
NVE21175	K11086
NVE2118	K06537
NVE21203	K10151
NVE21227	K21396
NVE2123	K11434
NVE21246	K08202
NVE21249	K16353
NVE21267	K02726
NVE213	K06628
NVE21309	K07002
NVE21316	K05692
NVE21389	K10808
NVE21397	K09022
NVE21410	K10739
NVE21418	K16775
NVE21434	K09396
NVE21438	K05181
NVE21451	K12741
NVE21498	K20349
NVE21509	K05312
NVE21513	K19970
NVE21514	K10752
NVE21530	K22070
NVE21547	K04809
NVE2156	K04810
NVE21575	K01322
NVE216	K18334
NVE21620	K12391
NVE21641	K06875
NVE21647	K00290
NVE21652	K14767
NVE21785	K14308
NVE21786	K03252
NVE21799	K08202
NVE21826	K06238
NVE21837	K06238
NVE21847	K14311
NVE21874	K00031
NVE21877	K04615
NVE21878	K00049
NVE21886	K08018
NVE21887	K12316
NVE21896	K08202
NVE21933	K14312
NVE21972	K14443
NVE21995	K21989
NVE22009	K01892
NVE2202	K01091
NVE22023	K19410
NVE22025	K00477
NVE22032	K13192
NVE22047	K01415
NVE2205	K15381
NVE22050	K01279
NVE22145	K01052
NVE22157	K03781
NVE22170	K01301
NVE22173	K16726
NVE22192	K05289
NVE22241	K14309
NVE22250	K12132
NVE22283	K12035
NVE2230	K12176
NVE22319	K18026
NVE22362	K00658
NVE22376	K01724
NVE22384	K06637
NVE22395	K13025
NVE22414	K00963
NVE22418	K13205
NVE2242	K01441
NVE22425	K11665
NVE22428	K02730
NVE22445	K01958
NVE22453	K04988
NVE22470	K21893
NVE22524	K04223
NVE22525	K04079
NVE22537	K05546
NVE22539	K08585
NVE22553	K01166
NVE22570	K17770
NVE22588	K03265
NVE22611	K05190
NVE2267	K07376
NVE22697	K13646
NVE22712	K10643
NVE2275	K00213
NVE22756	K10149
NVE22761	K01803
NVE2277	K07376
NVE2284	K02888
NVE22856	K09583
NVE22861	K02206
NVE22958	K18666
NVE22974	K14537
NVE23023	K18260
NVE23044	K01242
NVE23053	K14809
NVE23055	K00228
NVE23141	K05673
NVE2316	K18890
NVE23199	K22198
NVE23200	K02149
NVE23283	K10756
NVE23286	K14568
NVE23289	K10276
NVE23323	K13868
NVE23330	K16590
NVE23407	K16762
NVE2343	K05396
NVE23430	K05023
NVE23434	K20307
NVE23439	K10366
NVE23538	K07901
NVE23589	K04796
NVE23671	K10755
NVE23796	K03012
NVE2382	K16546
NVE23825	K14835
NVE23847	K07941
NVE23864	K04507
NVE23930	K01179
NVE24079	K14775
NVE24143	K17544
NVE2418	K04593
NVE24180	K21594
NVE242	K02156
NVE24215	K13517
NVE24273	K12493
NVE24288	K05619
NVE24309	K01052
NVE24391	K10803
NVE24422	K06675
NVE2445	K00128
NVE24529	K14312
NVE2456	K20478
NVE24594	K17824
NVE24627	K00565
NVE24794	K11858
NVE24806	K01769
NVE24815	K13866
NVE24887	K06961
NVE24894	K16816
NVE24992	K09569
NVE24997	K21870
NVE25006	K07232
NVE25009	K01081
NVE25013	K10869
NVE25016	K09553
NVE25020	K14774
NVE25022	K00512
NVE25028	K00621
NVE2505	K12663
NVE2508	K12396
NVE25081	K01858
NVE2512	K04887
NVE2517	K06639
NVE25209	K20053
NVE25261	K00512
NVE25265	K11647
NVE25273	K03386
NVE2534	K11248
NVE25345	K15425
NVE25347	K16815
NVE25352	K14415
NVE25364	K17341
NVE25373	K09851
NVE2539	K05765
NVE25393	K22390
NVE25435	K21914
NVE25467	K00857
NVE25479	K07832
NVE255	K06238
NVE25544	K04795
NVE25556	K21771
NVE25569	K00522
NVE25573	K01724
NVE25576	K16353
NVE25587	K12883
NVE25609	K00943
NVE25610	K09225
NVE25611	K04984
NVE25649	K10295
NVE25689	K18082
NVE25706	K11394
NVE25754	K08734
NVE25777	K09624
NVE25865	K09493
NVE25929	K20819
NVE25965	K05236
NVE26092	K07525
NVE26093	K01415
NVE26110	K19464
NVE26120	K04802
NVE26208	K05678
NVE2639	K20628
NVE2691	K20398
NVE2699	K07374
NVE2701	K07374
NVE2702	K07374
NVE2712	K12389
NVE2723	K07556
NVE2772	K04988
NVE2792	K13238
NVE2820	K00940
NVE287	K01069
NVE2898	K18047
NVE2904	K21988
NVE2908	K00457
NVE2937	K09577
NVE296	K19948
NVE3013	K13989
NVE3062	K01638
NVE3064	K11088
NVE3085	K00248
NVE3094	K14298
NVE3123	K05614
NVE3126	K01966
NVE3145	K02210
NVE3182	K20828
NVE3187	K06627
NVE3191	K00323
NVE3220	K03868
NVE3249	K17784
NVE3256	K21971
NVE3266	K07508
NVE3286	K00789
NVE3343	K01787
NVE3366	K14788
NVE3370	K01480
NVE3393	K11374
NVE3439	K03578
NVE3450	K17508
NVE3457	K05766
NVE3459	K16308
NVE3466	K06965
NVE3467	K11540
NVE3482	K07192
NVE350	K01307
NVE3513	K01262
NVE3563	K12311
NVE3566	K01648
NVE3615	K10419
NVE3623	K12261
NVE3625	K15014
NVE3638	K21196
NVE364	K03267
NVE369	K10761
NVE3698	K07565
NVE3717	K01301
NVE3751	K03065
NVE3791	K06711
NVE3827	K14397
NVE3882	K07426
NVE3893	K17928
NVE3916	K11511
NVE3918	K09542
NVE3937	K04371
NVE3944	K00699
NVE3965	K05673
NVE4006	K19491
NVE4013	K01357
NVE4020	K00602
NVE4032	K00058
NVE4033	K17583
NVE4035	K04351
NVE4036	K04351
NVE4080	K17341
NVE4103	K01907
NVE4111	K01841
NVE4121	K17362
NVE4170	K09578
NVE4179	K13912
NVE4229	K09458
NVE4246	K11138
NVE4259	K05208
NVE4297	K16571
NVE4352	K12581
NVE4354	K14799
NVE4355	K19519
NVE4370	K01493
NVE4423	K04362
NVE4427	K06700
NVE4435	K18402
NVE4437	K09584
NVE4477	K14564
NVE4481	K04863
NVE4506	K15075
NVE456	K05636
NVE4578	K11876
NVE4585	K13868
NVE459	K04513
NVE461	K02729
NVE4613	K01125
NVE4668	K10532
NVE4676	K20298
NVE4694	K00615
NVE4716	K07192
NVE4762	K05673
NVE48	K12373
NVE4822	K05181
NVE4823	K10352
NVE4837	K18417
NVE4860	K04988
NVE4872	K18592
NVE4902	K20051
NVE4941	K12035
NVE4944	K11093
NVE4945	K04874
NVE4961	K03010
NVE5003	K12845
NVE514	K10755
NVE5154	K01674
NVE5186	K14620
NVE5207	K16812
NVE5210	K06711
NVE5212	K06711
NVE5214	K08369
NVE5223	K01365
NVE5296	K12833
NVE5395	K08183
NVE5408	K09057
NVE5425	K12318
NVE5525	K14209
NVE5555	K03213
NVE5600	K02727
NVE5610	K01053
NVE5654	K03679
NVE5674	K17495
NVE57	K01415
NVE5765	K03031
NVE5845	K14168
NVE5891	K03249
NVE5911	K05759
NVE5940	K20069
NVE5942	K09403
NVE596	K09479
NVE5964	K05687
NVE5968	K03294
NVE6012	K18669
NVE6028	K07515
NVE6058	K10891
NVE6063	K06027
NVE6064	K18086
NVE611	K04266
NVE6118	K14823
NVE613	K09452
NVE6137	K16310
NVE6168	K05641
NVE6172	K12622
NVE6174	K04441
NVE6202	K17436
NVE621	K06103
NVE6214	K04984
NVE6223	K01816
NVE6251	K13982
NVE6269	K07249
NVE6285	K10409
NVE6304	K10838
NVE6306	K11503
NVE6331	K13982
NVE635	K02320
NVE6372	K00627
NVE6378	K10870
NVE6382	K05810
NVE6384	K08202
NVE6394	K05692
NVE6398	K12392
NVE6461	K10875
NVE6469	K01599
NVE647	K20478
NVE6492	K05673
NVE652	K05680
NVE6555	K16316
NVE6576	K09504
NVE6578	K10956
NVE6648	K01893
NVE6678	K06537
NVE6689	K09224
NVE6703	K03254
NVE6751	K01462
NVE682	K07562
NVE6832	K12410
NVE6846	K10844
NVE687	K01164
NVE6879	K18182
NVE6925	K05849
NVE6930	K04266
NVE6937	K21862
NVE6944	K11884
NVE6954	K17920
NVE6963	K01698
NVE6990	K09142
NVE702	K10403
NVE7080	K12310
NVE7110	K00232
NVE7118	K22197
NVE7122	K09592
NVE7129	K19909
NVE7131	K11406
NVE7204	K08657
NVE7267	K00864
NVE7276	K01283
NVE7351	K18050
NVE7441	K12877
NVE7521	K20526
NVE7545	K00451
NVE7601	K12580
NVE7641	K00254
NVE7684	K08824
NVE7688	K14864
NVE7696	K07190
NVE7711	K09495
NVE7733	K04950
NVE7740	K20704
NVE7762	K05863
NVE7792	K12460
NVE7819	K21956
NVE7822	K09377
NVE7824	K00826
NVE7848	K16804
NVE7872	K06229
NVE7910	K00522
NVE7911	K05719
NVE7920	K11543
NVE7950	K15156
NVE7951	K15156
NVE7954	K09549
NVE7993	K08202
NVE8020	K14400
NVE8028	K20397
NVE8049	K09489
NVE8051	K17495
NVE807	K06096
NVE8095	K18619
NVE8104	K12307
NVE8122	K13649
NVE8149	K21956
NVE8167	K15116
NVE8171	K19519
NVE8178	K00525
NVE8185	K00262
NVE8194	K04511
NVE8199	K17894
NVE8233	K00088
NVE8254	K04600
NVE826	K00699
NVE8275	K05592
NVE8294	K05048
NVE8328	K02183
NVE8338	K09548
NVE8399	K09228
NVE8419	K04256
NVE8472	K06819
NVE8495	K00012
NVE8503	K11154
NVE8558	K06709
NVE8569	K10175
NVE8589	K10590
NVE8637	K15015
NVE8639	K03251
NVE8660	K02377
NVE8665	K14848
NVE8672	K00546
NVE8705	K10405
NVE8734	K06674
NVE8752	K01080
NVE8824	K01904
NVE8854	K11883
NVE8863	K07304
NVE8886	K10798
NVE8890	K16194
NVE8919	K00542
NVE8921	K01640
NVE8932	K12373
NVE8944	K11977
NVE9	K11517
NVE9052	K06677
NVE9099	K05673
NVE9105	K13912
NVE9115	K06184
NVE9146	K11832
NVE9185	K14077
NVE9202	K05312
NVE9225	K14793
NVE9227	K14405
NVE9235	K17495
NVE9241	K08863
NVE925	K02183
NVE9250	K14307
NVE9315	K20396
NVE9353	K17924
NVE9354	K01363
NVE9397	K04370
NVE9398	K12587
NVE9411	K11656
NVE9422	K12857
NVE9429	K01897
NVE943	K08105
NVE9457	K17341
NVE9481	K03535
NVE9489	K08737
NVE9490	K17505
NVE9491	K20719
NVE9505	K16621
NVE9509	K16621
NVE952	K17495
NVE953	K05105
NVE9576	K10636
NVE9583	K13699
NVE9586	K02212
NVE959	K03049
NVE9625	K01204
NVE968	K22078
NVE9725	K09577
NVE9766	K22193
NVE9795	K14686
NVE986	K14006
NVE9883	K09428
NVE9891	K01551
NVE9899	K09699
NVE9907	K09522
NVE9928	K09283
NVE9930	K00289
NVE9939	K04891
NVE9987	K06698
# DESeq2/Condition GF vs bA.A
NVE10002	K08958
NVE10026	K01663
NVE10052	K06642
NVE10083	K12193
NVE10098	K08621
NVE10179	K06237
NVE10195	K09656
NVE10197	K17398
NVE10199	K14295
NVE1020	K17575
NVE10214	K09705
NVE10216	K12232
NVE10253	K00472
NVE10311	K13173
NVE10427	K06279
NVE10484	K17794
NVE10531	K15109
NVE10552	K17919
NVE10574	K02542
NVE10599	K01242
NVE10640	K14379
NVE10649	K13091
NVE10708	K22139
NVE10731	K16770
NVE10806	K14347
NVE10841	K18953
NVE10857	K02263
NVE10865	K05755
NVE10932	K19757
NVE10940	K08465
NVE1096	K16573
NVE11008	K22137
NVE11040	K17906
NVE11117	K03456
NVE11119	K12331
NVE11155	K19755
NVE11230	K01365
NVE11249	K21889
NVE11250	K00744
NVE11283	K12236
NVE11308	K04600
NVE11323	K04911
NVE11338	K13990
NVE11346	K00921
NVE11357	K12160
NVE1138	K01669
NVE11407	K09542
NVE11506	K04612
NVE1165	K07378
NVE11717	K07953
NVE11743	K20473
NVE11781	K06855
NVE11823	K11150
NVE11827	K15100
NVE1183	K09108
NVE11833	K16669
NVE11847	K01948
NVE11910	K21853
NVE11922	K14963
NVE11941	K01301
NVE11971	K18896
NVE12115	K15118
NVE12131	K04231
NVE12149	K03245
NVE12158	K05849
NVE1217	K19914
NVE12178	K01077
NVE12192	K04307
NVE12210	K07904
NVE1226	K13811
NVE1227	K13811
NVE12337	K15047
NVE12342	K07904
NVE12343	K15191
NVE12374	K13912
NVE12380	K19721
NVE12441	K04712
NVE1264	K00972
NVE12649	K00760
NVE12650	K09582
NVE12665	K07827
NVE12675	K01110
NVE12739	K08187
NVE12755	K08465
NVE1276	K20478
NVE12823	K14411
NVE12849	K02151
NVE1286	K16866
NVE12867	K03258
NVE12874	K00275
NVE12898	K02213
NVE12901	K04598
NVE12914	K11850
NVE12928	K06560
NVE12941	K19673
NVE12957	K10523
NVE1296	K05463
NVE12962	K14616
NVE12996	K17278
NVE13015	K06115
NVE1303	K15104
NVE13031	K11492
NVE13076	K04375
NVE1309	K19328
NVE1312	K01197
NVE13129	K00966
NVE1315	K00861
NVE13266	K07178
NVE13277	K04946
NVE13313	K11855
NVE13315	K04374
NVE13350	K19677
NVE13389	K13748
NVE13401	K12185
NVE13413	K02296
NVE13419	K07964
NVE13460	K21890
NVE13493	K15162
NVE13515	K09506
NVE13520	K08343
NVE13546	K01415
NVE13572	K07424
NVE1360	K13297
NVE13606	K17768
NVE13658	K08770
NVE1374	K14720
NVE13794	K01866
NVE13805	K12893
NVE13908	K14560
NVE13950	K13983
NVE13952	K22188
NVE14026	K10896
NVE14030	K21763
NVE14036	K01939
NVE14046	K05039
NVE14083	K07944
NVE14118	K01540
NVE14180	K07911
NVE14193	K00240
NVE14195	K04231
NVE14201	K05692
NVE14211	K16466
NVE14277	K20705
NVE14282	K12323
NVE14301	K00698
NVE14312	K19246
NVE14374	K22384
NVE14400	K07440
NVE14592	K01307
NVE14677	K09057
NVE14731	K12822
NVE14805	K19682
NVE14842	K15516
NVE14881	K12897
NVE14888	K19178
NVE14927	K09517
NVE1494	K20478
NVE14943	K15177
NVE1495	K20478
NVE14952	K17341
NVE14953	K17341
NVE14955	K10408
NVE14996	K11252
NVE1502	K01873
NVE15070	K08187
NVE15086	K09511
NVE15183	K10408
NVE15239	K19721
NVE15255	K17286
NVE15261	K04397
NVE15324	K07424
NVE15354	K09452
NVE15378	K07427
NVE15380	K07427
NVE15417	K19201
NVE15418	K18467
NVE15435	K03283
NVE15453	K09115
NVE15479	K18890
NVE15537	K10301
NVE15540	K06127
NVE15543	K06269
NVE15554	K09048
NVE1557	K01349
NVE15576	K06778
NVE1559	K01349
NVE15614	K11142
NVE1567	K00830
NVE15677	K02264
NVE1569	K11778
NVE15730	K19904
NVE15731	K19911
NVE15733	K08056
NVE15835	K12666
NVE15854	K12751
NVE15879	K16288
NVE15896	K05763
NVE15925	K20704
NVE15926	K05941
NVE15927	K03017
NVE15963	K05857
NVE15974	K06215
NVE16000	K11977
NVE1602	K16353
NVE1609	K01201
NVE16105	K21852
NVE16286	K19022
NVE16318	K20285
NVE16340	K21278
NVE16373	K09304
NVE16379	K03320
NVE16396	K11321
NVE16398	K18710
NVE16441	K04967
NVE16451	K13421
NVE16470	K22125
NVE16489	K08465
NVE16490	K05048
NVE16494	K04988
NVE16521	K07410
NVE16526	K02437
NVE1654	K00799
NVE16608	K05754
NVE16610	K14686
NVE16750	K17809
NVE16756	K06883
NVE1679	K10277
NVE168	K06106
NVE16876	K04448
NVE16915	K20520
NVE16946	K00666
NVE17003	K00365
NVE17010	K01332
NVE17048	K20526
NVE1705	K07374
NVE17076	K14683
NVE17088	K20828
NVE17098	K10260
NVE17099	K06724
NVE17104	K17094
NVE17149	K04968
NVE1723	K09519
NVE173	K04515
NVE17359	K09973
NVE17369	K17698
NVE1740	K12470
NVE17404	K10478
NVE1744	K00266
NVE17474	K11861
NVE17550	K20178
NVE17569	K01948
NVE17571	K01953
NVE17632	K12229
NVE17646	K05747
NVE17689	K19680
NVE17787	K12302
NVE17802	K06777
NVE17949	K10356
NVE18023	K21398
NVE18061	K07208
NVE18075	K05758
NVE18079	K00757
NVE18081	K08360
NVE18094	K00973
NVE18105	K12323
NVE18114	K02270
NVE18235	K06571
NVE18284	K11251
NVE18292	K00666
NVE18300	K03259
NVE18311	K10408
NVE18333	K16530
NVE18452	K03137
NVE18479	K11252
NVE18480	K09360
NVE18484	K09355
NVE18506	K05765
NVE1852	K04984
NVE18524	K10641
NVE18553	K10691
NVE18683	K06054
NVE18699	K00939
NVE18719	K14938
NVE18765	K20121
NVE18776	K01528
NVE18882	K05192
NVE18925	K01886
NVE18936	K01301
NVE18965	K04564
NVE18987	K18732
NVE18990	K04078
NVE19025	K08833
NVE19065	K04729
NVE19068	K10740
NVE1908	K04392
NVE19097	K13104
NVE19118	K14565
NVE19132	K15275
NVE19142	K14303
NVE19181	K04307
NVE19215	K22415
NVE1923	K13138
NVE1934	K05627
NVE19341	K08187
NVE19347	K17580
NVE19357	K05186
NVE19376	K13157
NVE1944	K05982
NVE19480	K10144
NVE19566	K13295
NVE19573	K14970
NVE19586	K11165
NVE19682	K08439
NVE19694	K04266
NVE1971	K11294
NVE19737	K17261
NVE19804	K19363
NVE19899	K01204
NVE19917	K12132
NVE19960	K06630
NVE19961	K03094
NVE19965	K12373
NVE19975	K12385
NVE19980	K00507
NVE19985	K20367
NVE20074	K15180
NVE20082	K13763
NVE20111	K07855
NVE20126	K11498
NVE20139	K05929
NVE20146	K09353
NVE20151	K00884
NVE2019	K04438
NVE20247	K08369
NVE20303	K05692
NVE20398	K07841
NVE20447	K06085
NVE20450	K14570
NVE20452	K01758
NVE20485	K00888
NVE20506	K10364
NVE2056	K04892
NVE2058	K01206
NVE20625	K11600
NVE20648	K19721
NVE2066	K06944
NVE20758	K14169
NVE20759	K15279
NVE2080	K02223
NVE20808	K13365
NVE20857	K15293
NVE20867	K06107
NVE20907	K15294
NVE2091	K10799
NVE2092	K15719
NVE20928	K03535
NVE20960	K04150
NVE20984	K10660
NVE21004	K04796
NVE21062	K14794
NVE21090	K04448
NVE21116	K18263
NVE21222	K07937
NVE21247	K08202
NVE21249	K16353
NVE21271	K00942
NVE21274	K11827
NVE21359	K19685
NVE21382	K17609
NVE21385	K10808
NVE21389	K10808
NVE21414	K11140
NVE21451	K12741
NVE21452	K01836
NVE21470	K13912
NVE21508	K17725
NVE21513	K19970
NVE21530	K22070
NVE21536	K13366
NVE21560	K19525
NVE21625	K17253
NVE21632	K10454
NVE2164	K07855
