"","transcript","ORF","cluster","bE","bJ","bA","SP","No.TM","KO","Kegg"
"26620","NVE15076","Gene.23105::NVE15076::g.23105::m.23105","cluster2830",0,0,0,"N",0,"",""
"26621","NVE15076","Gene.23106::NVE15076::g.23106::m.23106","cluster35",0,0,0,"N",0,"",""
"26622","NVE15076","Gene.23107::NVE15076::g.23107::m.23107","cluster8595",0,0,0,"N",0,"",""
"26623","NVE15076","Gene.23108::NVE15076::g.23108::m.23108","cluster6078",0,0,0,"N",0,"",""
"26624","NVE15076","Gene.23109::NVE15076::g.23109::m.23109","cluster1181",0,0,0,"N",0,"",""
"25","NVE4412","Gene.6888::NVE4412::g.6888::m.6888","cluster168",0,0,0,"N",0,"K22262","WDFY3; WD repeat and FYVE domain-containing protein 3"
"13840","NVE4412","Gene.6889::NVE4412::g.6889::m.6889","cluster7795",0,0,0,"N",0,"",""
"13841","NVE4412","Gene.6890::NVE4412::g.6890::m.6890","cluster1336",0,0,0,"Y",0,"",""
"13842","NVE4412","Gene.6891::NVE4412::g.6891::m.6891","cluster1421",0,0,0,"N",0,"",""
"13843","NVE4412","Gene.6892::NVE4412::g.6892::m.6892","cluster163",0,0,0,"N",2,"",""
"13844","NVE4412","Gene.6893::NVE4412::g.6893::m.6893","cluster143",0,0,0,"N",0,"",""
"13845","NVE4412","Gene.6894::NVE4412::g.6894::m.6894","cluster605",0,0,0,"N",0,"",""
"26","NVE7705","Gene.11772::NVE7705::g.11772::m.11772","cluster22",0,0,0,"N",0,"K16669","FAT4; protocadherin Fat 4"
"27","NVE18898","Gene.28759::NVE18898::g.28759::m.28759","cluster14",0,0,0,"Y",3,"K16353","SDK; protein sidekick"
"31074","NVE18898","Gene.28760::NVE18898::g.28760::m.28760","cluster1396",0,0,0,"N",0,"",""
"31075","NVE18898","Gene.28761::NVE18898::g.28761::m.28761","cluster228",0,0,0,"N",0,"",""
"31076","NVE18898","Gene.28762::NVE18898::g.28762::m.28762","cluster3075",0,0,0,"N",1,"",""
"31077","NVE18898","Gene.28763::NVE18898::g.28763::m.28763","cluster1795",0,0,0,"N",0,"",""
"31078","NVE18898","Gene.28764::NVE18898::g.28764::m.28764","cluster303",0,0,0,"N",0,"",""
"28","NVE23147","Gene.35187::NVE23147::g.35187::m.35187","cluster150",0,0,0,"N",0,"K12231","HECTD1; E3 ubiquitin-protein ligase HECTD1 [EC:2.3.2.26]"
"36138","NVE23147","Gene.35188::NVE23147::g.35188::m.35188","cluster6273",0,0,0,"N",0,"",""
"36139","NVE23147","Gene.35189::NVE23147::g.35189::m.35189","cluster849",0,0,0,"N",0,"",""
"36140","NVE23147","Gene.35190::NVE23147::g.35190::m.35190","cluster25",0,0,0,"N",0,"",""
"36141","NVE23147","Gene.35191::NVE23147::g.35191::m.35191","cluster8793",0,0,0,"Y",0,"",""
"36142","NVE23147","Gene.35192::NVE23147::g.35192::m.35192","cluster5745",0,0,0,"N",1,"",""
"36143","NVE23147","Gene.35193::NVE23147::g.35193::m.35193","cluster639",0,0,0,"N",0,"",""
"29","NVE14868","Gene.22792::NVE14868::g.22792::m.22792","cluster19",0,0,0,"N",10,"K04988","PKD1L2; polycystin 1L2"
"26394","NVE14868","Gene.22793::NVE14868::g.22793::m.22793","cluster8330",0,0,0,"N",0,"",""
"26395","NVE14868","Gene.22794::NVE14868::g.22794::m.22794","cluster1085",0,0,0,"N",0,"",""
"26396","NVE14868","Gene.22795::NVE14868::g.22795::m.22795","cluster8584",0,0,0,"Y",0,"",""
"26397","NVE14868","Gene.22796::NVE14868::g.22796::m.22796","cluster2691",0,0,0,"N",0,"",""
"30","NVE1285","Gene.2133::NVE1285::g.2133::m.2133","cluster269",0,0,0,"N",0,"K04659","THBS2S; thrombospondin 2/3/4/5"
"10132","NVE1285","Gene.2134::NVE1285::g.2134::m.2134","cluster1419",0,0,0,"N",1,"",""
"10133","NVE1285","Gene.2135::NVE1285::g.2135::m.2135","cluster1293",0,0,0,"N",0,"",""
"10134","NVE1285","Gene.2136::NVE1285::g.2136::m.2136","cluster3280",0,0,0,"N",0,"",""
"10135","NVE1285","Gene.2137::NVE1285::g.2137::m.2137","cluster4325",0,0,0,"N",0,"",""
"10136","NVE1285","Gene.2138::NVE1285::g.2138::m.2138","cluster1191",0,0,0,"N",0,"",""
"31","NVE19902","Gene.30255::NVE19902::g.30255::m.30255","cluster1",0,0,0,"N",0,"K20283","GOLGA4; golgin subfamily A member 4"
"32252","NVE19902","Gene.30256::NVE19902::g.30256::m.30256","cluster2289",0,0,0,"N",1,"",""
"32253","NVE19902","Gene.30257::NVE19902::g.30257::m.30257","cluster797",0,0,0,"N",0,"",""
"32254","NVE19902","Gene.30258::NVE19902::g.30258::m.30258","cluster135",0,0,0,"N",2,"",""
"32","NVE25961","Gene.39330::NVE25961::g.39330::m.39330","cluster1680",0,0,0,"N",0,"K19483","NAV2; neuron navigator 2 [EC:3.6.4.12]"
"39415","NVE25961","Gene.39331::NVE25961::g.39331::m.39331","cluster1319",0,0,0,"N",0,"",""
"39416","NVE25961","Gene.39332::NVE25961::g.39332::m.39332","cluster8718",0,0,0,"N",0,"",""
"33","NVE21775","Gene.33115::NVE21775::g.33115::m.33115","cluster7029",0,0,0,"N",0,"K12856","PRPF8; pre-mRNA-processing factor 8"
"34487","NVE21775","Gene.33116::NVE21775::g.33116::m.33116","cluster5141",0,0,0,"N",0,"",""
"34488","NVE21775","Gene.33117::NVE21775::g.33117::m.33117","cluster3020",0,0,0,"N",0,"",""
"34","NVE5835","Gene.9030::NVE5835::g.9030::m.9030","cluster94",0,0,0,"N",0,"K17572","ARFGEF3; brefeldin A-inhibited guanine nucleotide-exchange protein 3"
"15536","NVE5835","Gene.9031::NVE5835::g.9031::m.9031","cluster7866",0,0,0,"N",0,"",""
"15537","NVE5835","Gene.9032::NVE5835::g.9032::m.9032","cluster2902",0,0,0,"Y",0,"",""
"15538","NVE5835","Gene.9033::NVE5835::g.9033::m.9033","cluster500",0,0,0,"N",0,"",""
"35","NVE15832","Gene.24235::NVE15832::g.24235::m.24235","cluster77",0,0,0,"N",0,"K10779","ATRX; transcriptional regulator ATRX [EC:3.6.4.12]"
"27509","NVE15832","Gene.24236::NVE15832::g.24236::m.24236","cluster8624",0,0,0,"N",1,"",""
"27510","NVE15832","Gene.24237::NVE15832::g.24237::m.24237","cluster800",0,0,0,"Y",0,"",""
"27511","NVE15832","Gene.24238::NVE15832::g.24238::m.24238","cluster3858",0,0,0,"N",0,"",""
"36","NVE17337","Gene.26535::NVE17337::g.26535::m.26535","cluster414",0,0,0,"N",0,"K18626","TCHH; trichohyalin"
"29325","NVE17337","Gene.26536::NVE17337::g.26536::m.26536","cluster3140",0,0,0,"N",5,"",""
"29326","NVE17337","Gene.26537::NVE17337::g.26537::m.26537","cluster1",0,0,0,"Y",1,"",""
"29327","NVE17337","Gene.26538::NVE17337::g.26538::m.26538","cluster4529",0,0,0,"N",2,"",""
"29328","NVE17337","Gene.26539::NVE17337::g.26539::m.26539","cluster5",0,0,0,"N",0,"",""
"29329","NVE17337","Gene.26540::NVE17337::g.26540::m.26540","cluster8680",0,0,0,"Y",0,"",""
"29330","NVE17337","Gene.26541::NVE17337::g.26541::m.26541","cluster802",0,0,0,"N",0,"",""
"37","NVE12885","Gene.19728::NVE12885::g.19728::m.19728","cluster150",0,0,0,"N",0,"K12168","HECW2; E3 ubiquitin-protein ligase HECW2 [EC:2.3.2.26]"
"23968","NVE12885","Gene.19729::NVE12885::g.19729::m.19729","cluster160",0,0,0,"N",0,"",""
"23969","NVE12885","Gene.19730::NVE12885::g.19730::m.19730","cluster11",0,0,0,"N",0,"",""
"23970","NVE12885","Gene.19731::NVE12885::g.19731::m.19731","cluster5776",0,0,0,"N",1,"",""
"38","NVE7502","Gene.11445::NVE7502::g.11445::m.11445","cluster310",0,0,0,"N",0,"K18663","ASCC3; activating signal cointegrator complex subunit 3 [EC:3.6.4.12]"
"17435","NVE7502","Gene.11446::NVE7502::g.11446::m.11446","cluster126",0,0,0,"N",0,"",""
"39","NVE14167","Gene.21781::NVE14167::g.21781::m.21781","cluster104",0,0,0,"N",0,"K17341","HMCN; hemicentin"
"25592","NVE14167","Gene.21782::NVE14167::g.21782::m.21782","cluster508",0,0,0,"N",0,"",""
"25593","NVE14167","Gene.21783::NVE14167::g.21783::m.21783","cluster508",0,0,0,"N",0,"",""
"25594","NVE14167","Gene.21784::NVE14167::g.21784::m.21784","cluster508",0,0,0,"N",0,"",""
"25595","NVE14167","Gene.21785::NVE14167::g.21785::m.21785","cluster508",0,0,0,"N",0,"",""
"25596","NVE14167","Gene.21786::NVE14167::g.21786::m.21786","cluster7244",0,0,0,"Y",0,"",""
"25597","NVE14167","Gene.21787::NVE14167::g.21787::m.21787","cluster508",0,0,0,"N",0,"",""
"40","NVE10215","Gene.15664::NVE10215::g.15664::m.15664","cluster230",0,0,0,"N",1,"K22125","MYOF; myoferlin"
"20734","NVE10215","Gene.15665::NVE10215::g.15665::m.15665","cluster1930",0,0,0,"N",0,"",""
"20735","NVE10215","Gene.15666::NVE10215::g.15666::m.15666","cluster1407",0,0,0,"N",1,"",""
"20736","NVE10215","Gene.15667::NVE10215::g.15667::m.15667","cluster1120",0,0,0,"N",0,"",""
"41","NVE26005","Gene.39390::NVE26005::g.39390::m.39390","cluster11",0,0,0,"N",0,"K19922","BZRAP1; peripheral-type benzodiazepine receptor-associated protein 1"
"39464","NVE26005","Gene.39391::NVE26005::g.39391::m.39391","cluster1253",0,0,0,"Y",0,"",""
"39465","NVE26005","Gene.39392::NVE26005::g.39392::m.39392","cluster8468",0,0,0,"Y",0,"",""
"39466","NVE26005","Gene.39393::NVE26005::g.39393::m.39393","cluster170",0,0,0,"N",0,"",""
"42","NVE23180","Gene.35245::NVE23180::g.35245::m.35245","cluster401",0,0,0,"N",0,"K17601","WDR81; WD repeat-containing protein 81"
"43","NVE9611","Gene.14695::NVE9611::g.14695::m.14695","cluster20",0,0,0,"Y",1,"K02599","NOTCH1; Notch 1"
"19973","NVE9611","Gene.14696::NVE9611::g.14696::m.14696","cluster1345",0,0,0,"N",0,"",""
"19974","NVE9611","Gene.14697::NVE9611::g.14697::m.14697","cluster1345",0,0,0,"N",0,"",""
"19975","NVE9611","Gene.14698::NVE9611::g.14698::m.14698","cluster1345",0,0,0,"N",0,"",""
"44","NVE12774","Gene.19564::NVE12774::g.19564::m.19564","cluster182",0,0,0,"N",0,"K17592","SACS; sacsin"
"23842","NVE12774","Gene.19565::NVE12774::g.19565::m.19565","cluster5759",0,0,0,"N",0,"",""
"23843","NVE12774","Gene.19566::NVE12774::g.19566::m.19566","cluster609",0,0,0,"N",0,"",""
"23844","NVE12774","Gene.19567::NVE12774::g.19567::m.19567","cluster4813",0,0,0,"N",0,"",""
"23845","NVE12774","Gene.19568::NVE12774::g.19568::m.19568","cluster4607",0,0,0,"N",0,"",""
"45","NVE20126","Gene.30592::NVE20126::g.30592::m.30592","cluster3655",0,0,0,"N",0,"K11498","CENPE; centromeric protein E"
"32517","NVE20126","Gene.30593::NVE20126::g.30593::m.30593","cluster4671",0,0,0,"N",0,"",""
"46","NVE26118","Gene.39589::NVE26118::g.39589::m.39589","cluster1063",0,0,0,"Y",1,"K14314","NUP210; nuclear pore complex protein Nup210"
"39620","NVE26118","Gene.39590::NVE26118::g.39590::m.39590","cluster5656",0,0,0,"N",0,"",""
"39621","NVE26118","Gene.39591::NVE26118::g.39591::m.39591","cluster6328",0,0,0,"N",0,"",""
"39622","NVE26118","Gene.39592::NVE26118::g.39592::m.39592","cluster7",0,0,0,"N",0,"",""
"39623","NVE26118","Gene.39593::NVE26118::g.39593::m.39593","cluster3565",0,0,0,"N",0,"",""
"47","NVE14552","Gene.22347::NVE14552::g.22347::m.22347","cluster59",0,0,0,"N",0,"K17751","MYH6_7; myosin heavy chain 6/7"
"26045","NVE14552","Gene.22348::NVE14552::g.22348::m.22348","cluster5",0,0,0,"N",2,"",""
"26046","NVE14552","Gene.22349::NVE14552::g.22349::m.22349","cluster8016",0,0,0,"N",0,"",""
"26047","NVE14552","Gene.22350::NVE14552::g.22350::m.22350","cluster291",0,0,0,"N",0,"",""
"26048","NVE14552","Gene.22351::NVE14552::g.22351::m.22351","cluster7071",0,0,0,"N",0,"",""
"26049","NVE14552","Gene.22352::NVE14552::g.22352::m.22352","cluster1297",0,0,0,"N",0,"",""
"48","NVE22455","Gene.34149::NVE22455::g.34149::m.34149","cluster19",0,0,0,"N",11,"K04988","PKD1L2; polycystin 1L2"
"35297","NVE22455","Gene.34150::NVE22455::g.34150::m.34150","cluster4285",0,0,0,"N",1,"",""
"35298","NVE22455","Gene.34151::NVE22455::g.34151::m.34151","cluster1795",0,0,0,"N",1,"",""
"35299","NVE22455","Gene.34152::NVE22455::g.34152::m.34152","cluster4285",0,0,0,"N",0,"",""
"35300","NVE22455","Gene.34153::NVE22455::g.34153::m.34153","cluster4482",0,0,0,"N",0,"",""
"35301","NVE22455","Gene.34154::NVE22455::g.34154::m.34154","cluster1085",0,0,0,"Y",1,"",""
"49","NVE11060","Gene.16920::NVE11060::g.16920::m.16920","cluster3697",0,0,0,"N",0,"K08267","RICTOR; rapamycin-insensitive companion of mTOR"
"21742","NVE11060","Gene.16921::NVE11060::g.16921::m.16921","cluster899",0,0,0,"N",0,"",""
"21743","NVE11060","Gene.16922::NVE11060::g.16922::m.16922","cluster811",0,0,0,"N",1,"",""
"21744","NVE11060","Gene.16923::NVE11060::g.16923::m.16923","cluster235",0,0,0,"N",0,"",""
"21745","NVE11060","Gene.16924::NVE11060::g.16924::m.16924","cluster467",0,0,0,"N",0,"",""
"50","NVE2326","Gene.3760::NVE2326::g.3760::m.3760","cluster155",0,0,1,"N",0,"K15712","TTC3; E3 ubiquitin-protein ligase TTC3 [EC:2.3.2.27]"
"11408","NVE2326","Gene.3761::NVE2326::g.3761::m.3761","cluster733",0,0,1,"N",0,"",""
"51","NVE16953","Gene.25955::NVE16953::g.25955::m.25955","cluster160",0,0,0,"N",0,"K09186","MLL1; histone-lysine N-methyltransferase MLL1 [EC:2.1.1.43]"
"28866","NVE16953","Gene.25956::NVE16953::g.25956::m.25956","cluster4405",0,0,0,"N",2,"",""
"28867","NVE16953","Gene.25957::NVE16953::g.25957::m.25957","cluster6330",0,0,0,"N",2,"",""
"28868","NVE16953","Gene.25958::NVE16953::g.25958::m.25958","cluster3528",0,0,0,"N",0,"",""
"28869","NVE16953","Gene.25959::NVE16953::g.25959::m.25959","cluster3355",0,0,0,"N",2,"",""
"28870","NVE16953","Gene.25960::NVE16953::g.25960::m.25960","cluster4883",0,0,0,"N",0,"",""
"28871","NVE16953","Gene.25961::NVE16953::g.25961::m.25961","cluster160",0,0,0,"N",0,"",""
"28872","NVE16953","Gene.25962::NVE16953::g.25962::m.25962","cluster3695",0,0,0,"N",0,"",""
"28873","NVE16953","Gene.25963::NVE16953::g.25963::m.25963","cluster4884",0,0,0,"N",2,"",""
"52","NVE5667","Gene.8770::NVE5667::g.8770::m.8770","cluster152",0,0,0,"N",0,"K05636","LAMB1; laminin, beta 1"
"15307","NVE5667","Gene.8771::NVE5667::g.8771::m.8771","cluster2780",0,0,0,"N",0,"",""
"15308","NVE5667","Gene.8772::NVE5667::g.8772::m.8772","cluster2899",0,0,0,"N",0,"",""
"15309","NVE5667","Gene.8773::NVE5667::g.8773::m.8773","cluster6193",0,0,0,"N",1,"",""
"15310","NVE5667","Gene.8774::NVE5667::g.8774::m.8774","cluster847",0,0,0,"N",0,"",""
"15311","NVE5667","Gene.8775::NVE5667::g.8775::m.8775","cluster713",0,0,0,"N",0,"",""
"53","NVE7863","Gene.11998::NVE7863::g.11998::m.11998","cluster11",0,0,0,"N",0,"K20915","TP53BP1; tumor suppressor p53-binding protein 1"
"17866","NVE7863","Gene.11999::NVE7863::g.11999::m.11999","cluster6635",0,0,0,"N",0,"",""
"17867","NVE7863","Gene.12000::NVE7863::g.12000::m.12000","cluster5843",0,0,0,"Y",0,"",""
"17868","NVE7863","Gene.12001::NVE7863::g.12001::m.12001","cluster238",0,0,0,"N",1,"",""
"17869","NVE7863","Gene.12002::NVE7863::g.12002::m.12002","cluster766",0,0,0,"N",0,"",""
"17870","NVE7863","Gene.12003::NVE7863::g.12003::m.12003","cluster8155",0,0,0,"N",1,"",""
"17871","NVE7863","Gene.12004::NVE7863::g.12004::m.12004","cluster102",0,0,0,"N",0,"",""
"17872","NVE7863","Gene.12005::NVE7863::g.12005::m.12005","cluster1791",0,0,0,"N",0,"",""
"54","NVE5446","Gene.8430::NVE5446::g.8430::m.8430","cluster18",0,0,0,"Y",2,"K05093","FGFR2; fibroblast growth factor receptor 2 [EC:2.7.10.1]"
"15051","NVE5446","Gene.8431::NVE5446::g.8431::m.8431","cluster3107",0,0,0,"N",0,"",""
"15052","NVE5446","Gene.8432::NVE5446::g.8432::m.8432","cluster6556",0,0,0,"N",1,"",""
"15053","NVE5446","Gene.8433::NVE5446::g.8433::m.8433","cluster7910",0,0,0,"N",0,"",""
"55","NVE21470","Gene.32658::NVE21470::g.32658::m.32658","cluster28",0,0,0,"Y",0,"K13912","DMBT1; deleted in malignant brain tumors 1 protein"
"56","NVE18051","Gene.27565::NVE18051::g.27565::m.27565","cluster59",0,0,0,"N",0,"K08834","MYO3; myosin III [EC:2.7.11.1]"
"30153","NVE18051","Gene.27566::NVE18051::g.27566::m.27566","cluster6078",0,0,0,"N",0,"",""
"30154","NVE18051","Gene.27567::NVE18051::g.27567::m.27567","cluster1009",0,0,0,"N",0,"",""
"57","NVE22580","Gene.34358::NVE22580::g.34358::m.34358","cluster5029",0,0,0,"N",0,"K03125","TAF1; transcription initiation factor TFIID subunit 1"
"35463","NVE22580","Gene.34359::NVE22580::g.34359::m.34359","cluster1152",0,0,0,"N",1,"",""
