"","Contig","GO"
"544","NVE125",""
"548","NVE126","GO:0005524"
"549","NVE126","GO:0006812"
"550","NVE126","GO:0016021"
"551","NVE126","GO:0016887"
"552","NVE126","GO:0046872"
"553","NVE126","GO:0000166"
"554","NVE126","GO:0005388"
"555","NVE126","GO:0005887"
"556","NVE126","GO:0006874"
"557","NVE126","GO:0043231"
"558","NVE127","GO:0046872"
"559","NVE131","GO:0005524"
"560","NVE131","GO:0006464"
"561","NVE132","GO:0004930"
"562","NVE132","GO:0016021"
"563","NVE133","GO:0005509"
"564","NVE133","GO:0005544"
"565","NVE133","GO:0005886"
"566","NVE133","GO:0006887"
"567","NVE133","GO:0006906"
"568","NVE133","GO:0017158"
"569","NVE133","GO:0019905"
"570","NVE133","GO:0030276"
"573","NVE133","GO:0016021"
"574","NVE138","GO:0016021"
"580","NVE139","GO:0005576"
"582","NVE141","GO:0004930"
"583","NVE141","GO:0007166"
"584","NVE141","GO:0016021"
"585","NVE142","GO:0005576"
"586","NVE142","GO:0007275"
"587","NVE142","GO:0030178"
"591","NVE143","GO:0005576"
"592","NVE143","GO:0007275"
"593","NVE143","GO:0030178"
"597","NVE145","GO:0008061"
"598","NVE146","GO:0004568"
"599","NVE146","GO:0004930"
"600","NVE146","GO:0005581"
"601","NVE146","GO:0006032"
"602","NVE146","GO:0007166"
"603","NVE146","GO:0016021"
"604","NVE146","GO:0016998"
"605","NVE153","GO:0004930"
"606","NVE153","GO:0016021"
"607","NVE155","GO:0005741"
"608","NVE155","GO:0008630"
"609","NVE155","GO:0016021"
"610","NVE155","GO:0042803"
"611","NVE155","GO:0043065"
"612","NVE155","GO:0046982"
"613","NVE155","GO:0097192"
"614","NVE156","GO:0016020"
"615","NVE156","GO:0016021"
"616","NVE158","GO:0016021"
"617","NVE158","GO:0051225"
"618","NVE158","GO:0070652"
"619","NVE159","GO:0016021"
"620","NVE162","GO:0000155"
"621","NVE162","GO:0005622"
"624","NVE162","GO:0000166"
"625","NVE162","GO:0004383"
"626","NVE162","GO:0005886"
"627","NVE162","GO:0006182"
"628","NVE162","GO:0007165"
"629","NVE162","GO:0008074"
"630","NVE162","GO:0016021"
"631","NVE162","GO:0035556"
"633","NVE162","GO:0009190"
"634","NVE162","GO:0016849"
"636","NVE164","GO:0003677"
"637","NVE164","GO:0045892"
"638","NVE167","GO:0003676"
"639","NVE167","GO:0004672"
"640","NVE167","GO:0005524"
"641","NVE167","GO:0030246"
"642","NVE168",""
"643","NVE169","GO:0005096"
"644","NVE169","GO:0005622"
"645","NVE169","GO:0006886"
"646","NVE169","GO:0012505"
"647","NVE169","GO:0017137"
"648","NVE169","GO:0031338"
"649","NVE169","GO:0090630"
"650","NVE171","GO:0005743"
"651","NVE171","GO:0006839"
"652","NVE171","GO:0009409"
"653","NVE171","GO:0016021"
"654","NVE171","GO:0017077"
"655","NVE171","GO:1990542"
"656","NVE171","GO:1990845"
"659","NVE171","GO:0031966"
"663","NVE172","GO:0004801"
"664","NVE172","GO:0005737"
"665","NVE172","GO:0005975"
"666","NVE172","GO:0006098"
"671","NVE173","GO:0004683"
"672","NVE173","GO:0005516"
"673","NVE173","GO:0005524"
"674","NVE173","GO:0005737"
"675","NVE173","GO:0007399"
"676","NVE173","GO:0018105"
"677","NVE173","GO:0018107"
"678","NVE173","GO:0030154"
"679","NVE173","GO:0035556"
"683","NVE175","GO:0004930"
"684","NVE175","GO:0016021"
"685","NVE176","GO:0005524"
"686","NVE180","GO:0003824"
"687","NVE180","GO:0005975"
"688","NVE180","GO:0016021"
"689","NVE180","GO:0030246"
"691","NVE181","GO:0005634"
"693","NVE181","GO:0090729"
"694","NVE182","GO:0005634"
"697","NVE182","GO:0090729"
"698","NVE185","GO:0004888"
"699","NVE185","GO:0005230"
"700","NVE185","GO:0005886"
"701","NVE185","GO:0016021"
"702","NVE186","GO:0004930"
"703","NVE186","GO:0016021"
"704","NVE187","GO:0004930"
"705","NVE187","GO:0005887"
"706","NVE187","GO:0008528"
"707","NVE187","GO:0032870"
"708","NVE187","GO:0042277"
"709","NVE187","GO:1901652"
"711","NVE187","GO:0016021"
"712","NVE190","GO:0005198"
"713","NVE190","GO:0005634"
"714","NVE190","GO:0005829"
"715","NVE190","GO:0006511"
"716","NVE190","GO:0008541"
"717","NVE190","GO:0043248"
"718","NVE191","GO:0004861"
"719","NVE191","GO:0005634"
"720","NVE191","GO:0007050"
"721","NVE191","GO:0007346"
"722","NVE191","GO:0072331"
"723","NVE192","GO:0071203"
"724","NVE193","GO:0003333"
"725","NVE193","GO:0015171"
"726","NVE193","GO:0016021"
"727","NVE194","GO:0003333"
"728","NVE194","GO:0015171"
"729","NVE194","GO:0016021"
"733","NVE200","GO:0005227"
"734","NVE200","GO:0030317"
"735","NVE200","GO:0036128"
"736","NVE201","GO:0003677"
"737","NVE201","GO:0005634"
"738","NVE202","GO:0046983"
"739","NVE204","GO:0005509"
"755","NVE206","GO:0005509"
"759","NVE207","GO:0005509"
"760","NVE209","GO:0003735"
"761","NVE209","GO:0005840"
"762","NVE209","GO:0006412"
"769","NVE213","GO:0000727"
"770","NVE213","GO:0003682"
"771","NVE213","GO:0003688"
"772","NVE213","GO:0003697"
"773","NVE213","GO:0005656"
"774","NVE213","GO:0006267"
"775","NVE213","GO:0006270"
"776","NVE213","GO:0031261"
"777","NVE213","GO:0031298"
"778","NVE213","GO:0031938"
"779","NVE213","GO:0043138"
"780","NVE213","GO:1900087"
"781","NVE213","GO:1902977"
"782","NVE214","GO:0000727"
"783","NVE214","GO:0003682"
"784","NVE214","GO:0003688"
"785","NVE214","GO:0003697"
"786","NVE214","GO:0005656"
"787","NVE214","GO:0006267"
"788","NVE214","GO:0006270"
"789","NVE214","GO:0031261"
"790","NVE214","GO:0031298"
"791","NVE214","GO:0031938"
"792","NVE214","GO:0043138"
"793","NVE214","GO:1900087"
"794","NVE214","GO:1902977"
"795","NVE216","GO:0009063"
"796","NVE216","GO:0016052"
"797","NVE216","GO:0046872"
"798","NVE216","GO:0050023"
"799","NVE217","GO:0004930"
"800","NVE217","GO:0016021"
"801","NVE218","GO:0003723"
"802","NVE218","GO:0006355"
"803","NVE218","GO:0046872"
"807","NVE220","GO:0008270"
"808","NVE220","GO:0009056"
"809","NVE220","GO:0016787"
"810","NVE221","GO:0005509"
"814","NVE222","GO:0004407"
"815","NVE222","GO:0046872"
"816","NVE222","GO:0005634"
"817","NVE222","GO:0006351"
"818","NVE222","GO:0006355"
"819","NVE222","GO:0032041"
"820","NVE223","GO:0000209"
"821","NVE223","GO:0005622"
"822","NVE223","GO:0031624"
"823","NVE223","GO:0032436"
"824","NVE223","GO:0061630"
"830","NVE224","GO:0004550"
"831","NVE224","GO:0005524"
"832","NVE224","GO:0006183"
"833","NVE224","GO:0006228"
"834","NVE224","GO:0006241"
"855","NVE225","GO:0003978"
"856","NVE225","GO:0006012"
"859","NVE226","GO:0003743"
"866","NVE227","GO:0003400"
"867","NVE227","GO:0005090"
"868","NVE227","GO:0005096"
"869","NVE227","GO:0009306"
"870","NVE227","GO:0030176"
"871","NVE227","GO:0051020"
"872","NVE228","GO:0003723"
"874","NVE229","GO:0019867"
"875","NVE230","GO:0016021"
"876","NVE234","GO:0005874"
"877","NVE234","GO:0051010"
"878","NVE234","GO:0070507"
"908","NVE234","GO:0005813"
"909","NVE234","GO:0005819"
"911","NVE234","GO:0019901"
"912","NVE234","GO:0030981"
"913","NVE234","GO:0031115"
"914","NVE234","GO:0031116"
"915","NVE234","GO:0035372"
"916","NVE234","GO:0042802"
"918","NVE234","GO:0005794"
"921","NVE234","GO:0005881"
"926","NVE234","GO:0031253"
"927","NVE234","GO:0035371"
"931","NVE234","GO:1903033"
"935","NVE238","GO:0000055"
"936","NVE238","GO:0001671"
"937","NVE238","GO:0003676"
"938","NVE238","GO:0005730"
"939","NVE238","GO:0006364"
"940","NVE238","GO:0006897"
"941","NVE238","GO:0022625"
"942","NVE238","GO:0042273"
"943","NVE238","GO:0046872"
"944","NVE239","GO:0016021"
"945","NVE240","GO:0005739"
"946","NVE240","GO:0051607"
"949","NVE241","GO:0005509"
"950","NVE241","GO:0005737"
"951","NVE241","GO:0005884"
"952","NVE241","GO:0032432"
"953","NVE241","GO:0051015"
"954","NVE241","GO:0051017"
"955","NVE241","GO:0051639"
"956","NVE241","GO:0051764"
"957","NVE242","GO:0003676"
"958","NVE242","GO:0031047"
"963","NVE243","GO:0001654"
"964","NVE243","GO:0005622"
"965","NVE243","GO:0006801"
"966","NVE243","GO:0007507"
"967","NVE243","GO:0016176"
"968","NVE243","GO:0035091"
"969","NVE243","GO:0055114"
"970","NVE243","GO:0060348"
"971","NVE243","GO:0071800"
"972","NVE244",""
"973","NVE244","GO:0004386"
"975","NVE245","GO:0016787"
"976","NVE247","GO:0004721"
"977","NVE247","GO:0016787"
"1001","NVE247","GO:0004722"
"1002","NVE247","GO:0005634"
"1003","NVE247","GO:0005829"
"1004","NVE247","GO:0005886"
"1005","NVE247","GO:0030289"
"1014","NVE247","GO:0010569"
"1137","NVE247",""
"1144","NVE247","GO:0005815"
"1147","NVE247","GO:0006468"
"1150","NVE247","GO:0046872"
"1151","NVE247","GO:0001525"
"1153","NVE247","GO:0005737"
"1155","NVE247","GO:0007420"
"1156","NVE247","GO:0009953"
"1157","NVE247","GO:0021952"
"1159","NVE247","GO:0048264"
"1164","NVE247","GO:0030513"
"1168","NVE247","GO:0000278"
"1169","NVE247","GO:0000775"
"1173","NVE247","GO:0005813"
"1174","NVE247","GO:0007017"
"1175","NVE247","GO:0007346"
"1177","NVE247","GO:0045879"
"1321","NVE247","GO:0004704"
"1324","NVE247","GO:0005654"
"1333","NVE247","GO:0005521"
"1340","NVE247","GO:0016311"
"1341","NVE247","GO:0016791"
"1343","NVE247","GO:0044877"
"1362","NVE247","GO:0071347"
"1406","NVE248","GO:0046872"
"1411","NVE248","GO:0003007"
"1412","NVE248","GO:0005622"
"1413","NVE248","GO:0007254"
"1414","NVE248","GO:0016055"
"1415","NVE248","GO:0031102"
"1416","NVE248","GO:0042074"
"1418","NVE248","GO:0060027"
"1430","NVE250",""
"1431","NVE251","GO:0030246"
"1434","NVE252","GO:0030246"
"1436","NVE252","GO:0016021"
"1438","NVE253","GO:0005581"
"1449","NVE254","GO:0005581"
"1472","NVE255","GO:0005581"
"1920","NVE256","GO:0007165"
"1921","NVE256","GO:0016021"
"1922","NVE257","GO:0005581"
"1960","NVE258","GO:0070492"
"1961","NVE259","GO:0006629"
"1962","NVE259","GO:0008889"
"1963","NVE259","GO:0016021"
"1964","NVE260","GO:0016021"
"1965","NVE261","GO:0005525"
"1968","NVE262","GO:0005525"
"1970","NVE265","GO:0016021"
"1972","NVE266","GO:0005862"
"1973","NVE266","GO:0005884"
"1974","NVE266","GO:0006936"
"1975","NVE266","GO:0007015"
"1976","NVE266","GO:0008307"
"1977","NVE266","GO:0051015"
"1978","NVE266",""
"1982","NVE267","GO:0051260"
"1984","NVE268","GO:0016021"
"1986","NVE269","GO:0016021"
"1990","NVE270","GO:0000922"
"1991","NVE270","GO:0005813"
"1992","NVE271","GO:0004560"
"1993","NVE271","GO:0006004"
"1996","NVE273","GO:0004560"
"1997","NVE273","GO:0006004"
"2000","NVE274","GO:0004615"
"2001","NVE274","GO:0005829"
"2002","NVE274","GO:0006013"
"2003","NVE274","GO:0006487"
"2004","NVE274","GO:0009298"
"2005","NVE274","GO:0045047"
"2006","NVE275","GO:0004930"
"2007","NVE275","GO:0016021"
"2012","NVE276","GO:0004930"
"2013","NVE276","GO:0016021"
"2018","NVE277","GO:0004930"
"2019","NVE277","GO:0016021"
"2024","NVE278","GO:0004930"
"2025","NVE278","GO:0016021"
"2026","NVE279","GO:0004930"
"2027","NVE279","GO:0016021"
"2028","NVE279","GO:0005509"
"2031","NVE280","GO:0003676"
"2033","NVE282","GO:0003924"
"2034","NVE282","GO:0005525"
"2035","NVE282","GO:0005768"
"2036","NVE282","GO:0005886"
"2037","NVE282","GO:0006904"
"2038","NVE282","GO:0009306"
"2039","NVE282","GO:0017157"
"2040","NVE282","GO:0030667"
"2041","NVE282","GO:0072659"
"2044","NVE283","GO:0016021"
"2045","NVE284","GO:0005509"
"2046","NVE285","GO:0001042"
"2047","NVE285","GO:0001181"
"2048","NVE285","GO:0005634"
"2049","NVE286","GO:0001042"
"2050","NVE286","GO:0001181"
"2051","NVE286","GO:0005634"
"2055","NVE287","GO:0004416"
"2056","NVE287","GO:0019243"
"2057","NVE288","GO:0001664"
"2058","NVE288","GO:0003924"
"2059","NVE288","GO:0005525"
"2060","NVE288","GO:0005834"
"2061","NVE288","GO:0007188"
"2062","NVE288","GO:0007266"
"2063","NVE288","GO:0031683"
"2064","NVE289","GO:0003677"
"2065","NVE289","GO:0006351"
"2066","NVE289","GO:0006355"
"2079","NVE290","GO:0003723"
"2080","NVE291","GO:0005096"
"2081","NVE291","GO:0005737"
"2082","NVE291","GO:0007165"
"2083","NVE292","GO:0016021"
"2086","NVE293","GO:0005548"
"2087","NVE293","GO:0005622"
"2088","NVE296","GO:0005622"
"2089","NVE296","GO:0017137"
"2090","NVE296","GO:0032456"
"2091","NVE296","GO:0046872"
"2108","NVE298","GO:0005096"
"2109","NVE298","GO:0046872"
"2110","NVE298","GO:1902936"
"2111","NVE299","GO:0003341"
"2112","NVE299","GO:0005524"
"2113","NVE299","GO:0005930"
"2114","NVE299","GO:0008569"
"2115","NVE299","GO:0030286"
"2116","NVE299","GO:0031514"
"2117","NVE299","GO:0045503"
"2118","NVE299","GO:0045505"
"2119","NVE299","GO:0051959"
"2120","NVE300","GO:0005773"
"2121","NVE300","GO:0034722"
"2122","NVE300","GO:0046900"
"2126","NVE302","GO:0016021"
"2127","NVE304","GO:0004674"
"2128","NVE304","GO:0005524"
"2129","NVE304","GO:0016021"
"2130","NVE304","GO:0008152"
"2131","NVE304","GO:0016813"
"2142","NVE306","GO:0008270"
"2144","NVE306","GO:0016874"
"2145","NVE309",""
"2146","NVE311","GO:0044599"
"2148","NVE312","GO:0044599"
"2150","NVE313","GO:0005262"
"2151","NVE313","GO:0005509"
"2152","NVE313","GO:0005887"
"2153","NVE313","GO:0006874"
"2154","NVE313","GO:0008273"
"2155","NVE313","GO:0030955"
"2156","NVE313","GO:0031402"
"2164","NVE314","GO:0005262"
"2165","NVE314","GO:0005509"
"2166","NVE314","GO:0005887"
"2167","NVE314","GO:0006874"
"2168","NVE314","GO:0008273"
"2169","NVE314","GO:0030955"
"2170","NVE314","GO:0031402"
"2171","NVE315","GO:0004842"
"2172","NVE315","GO:0016021"
"2173","NVE315","GO:0046872"
"2176","NVE315","GO:0016874"
"2178","NVE316","GO:0000184"
"2179","NVE316","GO:0000381"
"2180","NVE316","GO:0003729"
"2181","NVE316","GO:0005737"
"2182","NVE316","GO:0006397"
"2183","NVE316","GO:0008380"
"2184","NVE316","GO:0016607"
"2185","NVE316","GO:0035145"
"2186","NVE316","GO:0051028"
"2205","NVE318","GO:0003677"
"2206","NVE318","GO:0005634"
"2207","NVE318","GO:0005794"
"2208","NVE318","GO:0006351"
"2209","NVE318","GO:0006355"
"2210","NVE318","GO:0015031"
"2211","NVE318","GO:0016021"
"2212","NVE318","GO:0017150"
"2213","NVE318","GO:0046983"
"2214","NVE318","GO:0050660"
"2215","NVE318","GO:0002097"
"2216","NVE318","GO:0004808"
"2217","NVE318","GO:0005737"
"2218","NVE318","GO:0016645"
"2235","NVE319","GO:0000045"
"2236","NVE319","GO:0000422"
"2237","NVE319","GO:0006501"
"2238","NVE319","GO:0019776"
"2239","NVE319","GO:0034045"
"2240","NVE319","GO:0034274"
"2241","NVE319","GO:0044804"
"2242","NVE320","GO:0005524"
"2243","NVE320","GO:0006281"
"2244","NVE320","GO:0006310"
"2245","NVE320","GO:0006338"
"2246","NVE320","GO:0006351"
"2247","NVE320","GO:0006355"
"2248","NVE320","GO:0031011"
"2256","NVE322","GO:0005737"
"2257","NVE322","GO:0031625"
"2258","NVE322","GO:0061630"
"2262","NVE323","GO:0003682"
"2263","NVE323","GO:0030154"
"2272","NVE325","GO:0005737"
"2273","NVE325","GO:0008361"
"2274","NVE325","GO:0009267"
"2275","NVE325","GO:0010506"
"2276","NVE325","GO:0030307"
"2277","NVE325","GO:0030674"
"2278","NVE325","GO:0031929"
"2279","NVE325","GO:0031931"
"2280","NVE325","GO:0071230"
"2281","NVE325","GO:0071902"
"2282","NVE326","GO:0005886"
"2283","NVE326","GO:0016021"
"2284","NVE326","GO:0022857"
"2285","NVE326","GO:0071705"
"2294","NVE327","GO:0005886"
"2295","NVE327","GO:0016021"
"2296","NVE327","GO:0022857"
"2297","NVE327","GO:0071705"
"2314","NVE328","GO:0005096"
"2315","NVE328","GO:0005622"
"2316","NVE328","GO:0006886"
"2317","NVE328","GO:0012505"
"2318","NVE328","GO:0017137"
"2319","NVE328","GO:0031338"
"2320","NVE328","GO:0090630"
"2321","NVE330","GO:0005576"
"2322","NVE330","GO:0006030"
"2323","NVE330","GO:0008061"
"2375","NVE331","GO:0006629"
"2376","NVE331","GO:0008889"
"2377","NVE331","GO:0016021"
"2378","NVE332","GO:0006486"
"2379","NVE332","GO:0008375"
"2382","NVE334","GO:0004930"
"2383","NVE334","GO:0016021"
"2385","NVE334","GO:0008168"
"2386","NVE334","GO:0008610"
"2388","NVE334","GO:0008502"
"2390","NVE337","GO:0008502"
"2391","NVE337","GO:0016021"
"2394","NVE338","GO:0008119"
"2396","NVE340","GO:0006004"
"2397","NVE340","GO:0006487"
"2398","NVE340","GO:0036071"
"2399","NVE340","GO:0046921"
"2401","NVE340","GO:0016021"
"2404","NVE341","GO:0016021"
"2439","NVE343","GO:0004842"
"2440","NVE343","GO:0005634"
"2441","NVE343","GO:0006511"
"2445","NVE344","GO:0006886"
"2446","NVE344","GO:0006888"
"2447","NVE344","GO:0006890"
"2448","NVE344","GO:0006891"
"2449","NVE344","GO:0030126"
"2450","NVE344","GO:0000139"
"2451","NVE344","GO:0005198"
"2460","NVE344","GO:0016192"
"2462","NVE345","GO:0042981"
"2463","NVE346","GO:0006886"
"2464","NVE346","GO:0006888"
"2465","NVE346","GO:0006890"
"2466","NVE346","GO:0006891"
"2467","NVE346","GO:0030126"
"2468","NVE346","GO:0000139"
"2469","NVE346","GO:0005198"
"2478","NVE346","GO:0016192"
"2480","NVE347","GO:0097367"
"2481","NVE347","GO:1901135"
"2482","NVE347","GO:0016301"
"2485","NVE348","GO:0000287"
"2486","NVE348","GO:0004749"
"2487","NVE348","GO:0009116"
"2488","NVE348","GO:0009165"
"2493","NVE349","GO:0046872"
"2496","NVE350","GO:0005773"
"2497","NVE350","GO:0034722"
"2498","NVE350","GO:0046900"
"2502","NVE351","GO:0046872"
"2503","NVE352","GO:0009410"
"2504","NVE352","GO:0034753"
"2505","NVE352","GO:0045944"
"2512","NVE352","GO:0003700"
"2513","NVE352","GO:0005737"
"2514","NVE352","GO:0006351"
"2518","NVE352","GO:0046983"
"2519","NVE353","GO:0009410"
"2520","NVE353","GO:0034753"
"2521","NVE353","GO:0045944"
"2522","NVE356","GO:0004674"
"2523","NVE356","GO:0005524"
"2524","NVE356","GO:0005622"
